Tournament Name,Stage Name,date,time,team1,team2,team1_score,team2_score,result,Home Team Win,Away Team Win,Draw,tournament_year,match_id,team1_elo_start,team2_elo_start,team1_elo_end,team2_elo_end
1962 FIFA World Cup,group stage,1962-06-02,15:00,England,Argentina,3,1,home team win,1,0,0,1962,148,1465.21,1524.62,1490.94,1498.89
1962 FIFA World Cup,group stage,1962-06-03,15:00,Spain,Mexico,1,0,home team win,1,0,0,1962,149,1493.69,1346.64,1506.3,1334.03
1962 FIFA World Cup,group stage,1962-06-03,15:00,Hungary,Bulgaria,6,1,home team win,1,0,0,1962,150,1638.94,1479.23,1653.19,1464.98
1962 FIFA World Cup,group stage,1962-06-03,15:00,Soviet Union,Colombia,4,4,draw,0,0,1,1962,151,1505.46,1493.53,1504.77,1494.22
1962 FIFA World Cup,group stage,1962-06-03,15:00,Germany,Switzerland,2,1,home team win,1,0,0,1962,152,1841.5,1469.62,1845.92,1465.2
1962 FIFA World Cup,group stage,1962-06-06,15:00,Soviet Union,Uruguay,2,1,home team win,1,0,0,1962,153,1504.77,1763.98,1539.06,1729.69
1962 FIFA World Cup,group stage,1962-06-06,15:00,Germany,Chile,2,0,home team win,1,0,0,1962,154,1845.92,1559.46,1853.01,1552.37
1962 FIFA World Cup,group stage,1962-06-06,15:00,Brazil,Spain,2,1,home team win,1,0,0,1962,155,2001.59,1506.3,2003.88,1504.01
1962 FIFA World Cup,group stage,1962-06-06,15:00,Hungary,Argentina,0,0,draw,0,0,1,1962,156,1653.19,1498.89,1644.85,1507.23
1962 FIFA World Cup,group stage,1962-06-07,15:00,Yugoslavia,Colombia,5,0,home team win,1,0,0,1962,157,1508.09,1494.22,1532.09,1470.22
1962 FIFA World Cup,group stage,1962-06-07,15:00,Italy,Switzerland,3,0,home team win,1,0,0,1962,158,1984.65,1465.2,1986.85,1463.0
1962 FIFA World Cup,group stage,1962-06-07,15:00,Mexico,Czechoslovakia,3,1,home team win,1,0,0,1962,159,1334.03,1540.28,1367.75,1506.56
1962 FIFA World Cup,group stage,1962-06-07,15:00,England,Bulgaria,0,0,draw,0,0,1,1962,160,1490.94,1464.98,1489.45,1466.47
1962 FIFA World Cup,quarter-finals,1962-06-10,14:30,Brazil,England,3,1,home team win,1,0,0,1962,161,2003.88,1489.45,2008.51,1484.82
1962 FIFA World Cup,quarter-finals,1962-06-10,14:30,Chile,Soviet Union,2,1,home team win,1,0,0,1962,162,1552.37,1539.06,1596.61,1494.82
1962 FIFA World Cup,quarter-finals,1962-06-10,14:30,Czechoslovakia,Hungary,1,0,home team win,1,0,0,1962,163,1506.56,1644.85,1569.96,1581.45
1962 FIFA World Cup,quarter-finals,1962-06-10,14:30,Yugoslavia,Germany,1,0,home team win,1,0,0,1962,164,1532.09,1853.01,1611.56,1773.54
1962 FIFA World Cup,semi-finals,1962-06-13,14:30,Czechoslovakia,Yugoslavia,3,1,home team win,1,0,0,1962,165,1569.96,1611.56,1647.74,1533.78
1962 FIFA World Cup,semi-finals,1962-06-13,14:30,Brazil,Chile,4,2,home team win,1,0,0,1962,166,2008.51,1596.61,2020.38,1584.74
1962 FIFA World Cup,third-place match,1962-06-16,14:30,Chile,Yugoslavia,1,0,home team win,1,0,0,1962,167,1584.74,1533.78,1602.68,1515.84
1962 FIFA World Cup,final,1962-06-17,14:30,Brazil,Czechoslovakia,3,1,home team win,1,0,0,1962,168,2020.38,1647.74,2202.63,1690.49
1966 FIFA World Cup,group stage,1966-07-11,19:30,England,Uruguay,0,0,draw,0,0,1,1966,169,1484.82,1729.69,1496.97,1717.54
1966 FIFA World Cup,group stage,1966-07-12,19:30,Germany,Switzerland,5,0,home team win,1,0,0,1966,170,1773.54,1463.0,1780.71,1455.83
1966 FIFA World Cup,group stage,1966-07-12,19:30,Brazil,Bulgaria,2,0,home team win,1,0,0,1966,171,2202.63,1466.47,2203.26,1465.84
1966 FIFA World Cup,group stage,1966-07-12,19:30,Soviet Union,North Korea,3,0,home team win,1,0,0,1966,172,1494.82,1500.0,1518.16,1476.66
1966 FIFA World Cup,group stage,1966-07-13,19:30,Argentina,Spain,2,1,home team win,1,0,0,1966,173,1507.23,1504.01,1528.04,1483.2
1966 FIFA World Cup,group stage,1966-07-13,19:30,France,Mexico,1,1,draw,0,0,1,1966,174,1542.34,1367.75,1533.06,1377.03
1966 FIFA World Cup,group stage,1966-07-13,19:30,Portugal,Hungary,3,1,home team win,1,0,0,1966,175,1500.0,1581.45,1527.07,1554.38
1966 FIFA World Cup,group stage,1966-07-13,19:30,Italy,Chile,2,0,home team win,1,0,0,1966,176,1986.85,1602.68,1991.19,1598.34
1966 FIFA World Cup,group stage,1966-07-15,19:30,Uruguay,France,2,1,home team win,1,0,0,1966,177,1717.54,1533.06,1728.33,1522.27
